iter	RMSE
0	57.60057369
1	55.89700793
2	54.1198024
3	52.40321525
4	50.81294201
5	49.3135114
6	47.615144
7	46.09727112
8	44.65656633
9	43.27962758
10	41.97605604
11	40.73374425
12	39.55324254
13	38.45610168
14	37.34310227
15	36.2394114
16	35.18687314
17	34.28670578
18	33.3808163
19	32.45578559
20	31.61277744
21	30.88463104
22	30.13575932
23	29.43397834
24	28.78140836
25	28.10927641
26	27.41526729
27	26.79263953
28	26.24833943
29	25.63984813
30	25.11028095
31	24.61089536
32	24.05950533
33	23.59840105
34	23.21063157
35	22.79549109
36	22.36975706
37	21.92829161
38	21.59884328
39	21.19667752
40	20.8159181
41	20.5021808
42	20.16384249
43	19.80621988
44	19.51245225
45	19.2111357
46	18.92504014
47	18.65289171
48	18.43349481
49	18.15907177
50	17.90730853
51	17.66388534
52	17.41933974
53	17.2171541
54	16.98925185
55	16.84324872
56	16.59050015
57	16.40574851
58	16.22936145
59	16.0788987
60	15.91999799
61	15.76948593
62	15.60648259
63	15.45119622
64	15.26884419
65	15.15047338
66	15.00186091
67	14.8215189
68	14.73449329
69	14.62063895
70	14.50896545
71	14.36194932
72	14.25402987
73	14.08644083
74	13.97805887
75	13.88590897
76	13.78671599
77	13.67749189
78	13.54154297
79	13.4649512
80	13.35028263
81	13.24599182
82	13.13552005
83	13.04034673
84	12.95192475
85	12.85139604
86	12.75307477
87	12.62630343
88	12.534089
89	12.42695546
90	12.30676117
91	12.26235501
92	12.19390063
93	12.12407668
94	12.04266419
95	11.95113579
96	11.89603023
97	11.84572806
98	11.76238126
99	11.68534008
100	11.60587524
101	11.5592304
102	11.48651103
103	11.42912363
104	11.35188274
105	11.29486668
106	11.25805218
107	11.2047723
108	11.14264292
109	11.0742458
110	11.04178676
111	10.95828818
112	10.92245284
113	10.82197313
114	10.78091689
115	10.6902464
116	10.61732481
117	10.57778093
118	10.51733302
119	10.4862002
120	10.41696185
121	10.33588284
122	10.27248444
123	10.22359393
124	10.18807205
125	10.12848355
126	10.09128141
127	10.04342691
128	9.993131371
129	9.950379109
130	9.876696325
131	9.818388994
132	9.780365156
133	9.730438516
134	9.692874889
135	9.663339124
136	9.622410952
137	9.572252655
138	9.512069493
139	9.483087068
140	9.435626402
141	9.378819547
142	9.346302587
143	9.30637757
144	9.279311183
145	9.24288553
146	9.206398839
147	9.179531301
148	9.147848252
149	9.119642921
150	9.084282556
151	9.033926613
152	8.994007285
153	8.969026348
154	8.918413091
155	8.879385887
156	8.84607731
157	8.802429453
158	8.771847814
159	8.737570894
160	8.714248095
161	8.686287053
162	8.659424512
163	8.636069364
164	8.607423438
165	8.583484155
166	8.569939004
167	8.546809917
168	8.50291259
169	8.457496568
170	8.441132511
171	8.417013417
172	8.388876979
173	8.377980928
174	8.315041583
175	8.282888553
176	8.256228538
177	8.220180435
178	8.16805458
179	8.124727579
180	8.103658056
181	8.05689363
182	8.026397072
183	8.004180215
184	7.99621652
185	7.964655313
186	7.935173833
187	7.920636716
188	7.891980441
189	7.866482852
190	7.827289124
191	7.81028091
192	7.793905842
193	7.77056746
194	7.752876799
195	7.710524931
196	7.697960981
197	7.693431906
198	7.668724576
199	7.640595453
200	7.627895238
201	7.600019747
202	7.589644572
203	7.559336743
204	7.547105354
205	7.513084003
206	7.509269318
207	7.482070126
208	7.44456949
209	7.428620648
210	7.40803087
211	7.389719514
212	7.373222683
213	7.36963296
214	7.350046737
215	7.326552271
216	7.296231002
217	7.273221088
218	7.257166067
219	7.23423921
220	7.216602164
221	7.188981467
222	7.158450323
223	7.133618669
224	7.109855363
225	7.091812534
226	7.070090442
227	7.034199561
228	7.022673213
229	6.985685522
230	6.957531291
231	6.931650499
232	6.903044407
233	6.882318188
234	6.873296979
235	6.839735291
236	6.822189505
237	6.805012459
238	6.785325834
239	6.754322012
240	6.726124312
241	6.714334328
242	6.699578727
243	6.673096194
244	6.657602956
245	6.645794692
246	6.611020898
247	6.583602668
248	6.560261913
249	6.55005543
250	6.517252953
251	6.497498287
252	6.477837181
253	6.454166497
254	6.428423772
255	6.404401589
256	6.399414172
257	6.388150388
258	6.367331468
259	6.363584874
260	6.353698069
261	6.344941778
262	6.321582774
263	6.300894687
264	6.294009504
265	6.288643791
266	6.26768421
267	6.261091846
268	6.240612741
269	6.236594481
270	6.224406624
271	6.212797922
272	6.202530334
273	6.194646979
274	6.191559853
275	6.185073929
276	6.178299576
277	6.163158402
278	6.139029572
279	6.135944496
280	6.112215337
281	6.094869168
282	6.075032322
283	6.067289112
284	6.047284228
285	6.020173374
286	6.017335242
287	6.002685714
288	5.99500331
289	5.979161408
290	5.959516045
291	5.932712152
292	5.923906991
293	5.904033502
294	5.87978683
295	5.869065349
296	5.850818263
297	5.831329754
298	5.827629735
299	5.818405945
300	5.802144016
301	5.794816218
302	5.783556649
303	5.771722863
304	5.754738811
305	5.748033685
306	5.73797198
307	5.713430603
308	5.694871617
309	5.676078965
310	5.666708174
311	5.653068897
312	5.639581635
313	5.624803318
314	5.608271131
315	5.594898455
316	5.58627073
317	5.571909352
318	5.547465636
319	5.528153778
320	5.515131856
321	5.5037683
322	5.488590063
323	5.483041361
324	5.478237822
325	5.465623319
326	5.450355324
327	5.434768276
328	5.427379691
329	5.414639156
330	5.397755723
331	5.384576085
332	5.37494523
333	5.365610879
334	5.349101082
335	5.330445351
336	5.316612258
337	5.302003646
338	5.298664266
339	5.285788922
340	5.27479786
341	5.26979842
342	5.262293624
343	5.248323554
344	5.234842418
345	5.223013837
346	5.209651242
347	5.201442023
348	5.193036747
349	5.184666255
350	5.177224153
351	5.175830497
352	5.159781815
353	5.150224191
354	5.141812632
355	5.12956423
356	5.120058703
