iter	Passed	Remaining
0	61	123648
1	63	63196
2	65	43455
3	67	33493
4	68	27241
5	69	23119
6	70	20051
7	71	17745
8	72	16003
9	73	14548
10	74	13393
11	75	12449
12	76	11634
13	76	10910
14	77	10319
15	78	9768
16	79	9294
17	80	8876
18	81	8491
19	82	8141
20	83	7826
21	83	7535
22	84	7269
23	85	7029
24	86	6810
25	86	6604
26	87	6405
27	88	6245
28	89	6086
29	90	5925
30	91	5784
31	91	5645
32	92	5535
33	93	5420
34	94	5308
35	95	5204
36	95	5091
37	97	5017
38	97	4927
39	98	4842
40	99	4760
41	100	4674
42	100	4582
43	101	4494
44	101	4408
45	101	4326
46	102	4248
47	102	4174
48	103	4103
49	103	4035
50	103	3970
51	104	3905
52	104	3843
53	105	3785
54	105	3729
55	105	3675
56	106	3624
57	106	3573
58	107	3524
59	107	3477
60	107	3431
61	108	3386
62	108	3344
63	109	3306
64	109	3266
65	110	3226
66	110	3188
67	110	3152
68	111	3115
69	111	3083
70	112	3050
71	112	3018
72	113	2986
73	113	2955
74	113	2924
75	114	2895
76	114	2866
77	115	2838
78	115	2809
79	115	2783
80	116	2757
81	116	2731
82	117	2706
83	117	2682
84	118	2658
85	118	2636
86	118	2613
87	119	2591
88	119	2570
89	120	2548
90	120	2528
91	121	2512
92	121	2495
93	122	2479
94	122	2464
95	123	2451
96	124	2440
97	125	2428
98	125	2415
99	126	2403
100	127	2391
101	127	2380
102	128	2368
103	129	2357
104	129	2344
105	130	2332
106	131	2318
107	131	2308
108	132	2297
109	133	2287
110	133	2277
111	134	2268
112	135	2257
113	135	2248
114	136	2237
115	137	2228
116	138	2226
117	138	2215
118	139	2205
119	140	2197
120	140	2187
121	141	2182
122	142	2177
123	143	2168
124	143	2158
125	144	2149
126	145	2140
127	145	2130
128	146	2121
129	146	2112
130	147	2103
131	148	2095
132	148	2088
133	149	2080
134	150	2072
135	150	2064
136	151	2057
137	151	2050
138	152	2041
139	153	2033
140	153	2025
141	154	2018
142	154	2010
143	155	2002
144	155	1994
145	156	1988
146	157	1986
147	158	1980
148	158	1972
149	159	1964
150	159	1956
151	160	1949
152	160	1941
153	161	1933
154	161	1925
155	162	1917
156	162	1910
157	163	1903
158	163	1895
159	164	1888
160	164	1884
161	165	1878
162	166	1874
163	166	1869
164	167	1863
165	168	1858
166	168	1852
167	169	1846
168	169	1840
169	170	1835
170	171	1830
171	171	1827
172	172	1825
173	173	1823
174	174	1820
175	175	1816
176	175	1810
177	176	1805
178	177	1801
179	177	1796
180	178	1792
181	178	1787
182	179	1783
183	180	1779
184	180	1775
185	181	1771
186	182	1767
187	182	1763
188	183	1759
189	184	1756
190	184	1751
191	185	1748
192	186	1743
193	187	1741
194	188	1740
195	188	1737
196	189	1733
197	189	1727
198	190	1722
199	190	1718
200	191	1713
201	191	1708
202	192	1703
203	193	1699
204	193	1695
205	194	1694
206	195	1691
207	196	1689
208	196	1687
209	197	1683
210	198	1680
211	198	1677
212	199	1673
213	200	1672
214	201	1673
215	202	1675
216	203	1674
217	204	1670
218	205	1668
219	205	1664
220	206	1661
221	207	1658
222	207	1654
223	208	1650
224	208	1646
225	209	1642
226	209	1639
227	210	1635
228	211	1632
229	211	1629
230	212	1626
231	212	1622
232	213	1619
233	214	1615
234	214	1612
235	215	1609
236	215	1605
237	216	1603
238	217	1604
239	218	1601
240	219	1600
241	220	1598
242	221	1597
243	221	1596
244	222	1593
245	223	1591
246	223	1589
247	224	1587
248	225	1585
249	226	1583
250	226	1580
251	227	1577
252	228	1576
253	228	1573
254	229	1572
255	230	1570
256	231	1569
257	232	1567
258	232	1566
259	233	1565
260	234	1563
261	235	1562
262	236	1560
263	237	1558
264	237	1556
265	238	1554
266	239	1552
267	239	1550
268	240	1548
269	241	1545
270	241	1543
271	242	1541
272	243	1539
273	244	1537
274	244	1535
275	245	1533
276	246	1531
