zone,time,value (MW)
DE->AT,2024-01-01T00:00,2264.462000
DE->AT,2024-01-01T00:15,2201.966000
DE->AT,2024-01-01T00:30,2169.120000
DE->AT,2024-01-01T00:45,2197.300000
DE->AT,2024-01-01T01:00,2191.050000
DE->AT,2024-01-01T01:15,2064.326000
DE->AT,2024-01-01T01:30,2017.800000
DE->AT,2024-01-01T01:45,1900.272000
DE->AT,2024-01-01T02:00,1878.570000
DE->AT,2024-01-01T02:15,1755.644000
DE->AT,2024-01-01T02:30,1718.608000
DE->AT,2024-01-01T02:45,1709.590000
DE->AT,2024-01-01T03:00,1663.446000
DE->AT,2024-01-01T03:15,1685.186000
DE->AT,2024-01-01T03:30,1712.736000
DE->AT,2024-01-01T03:45,1655.568000
DE->AT,2024-01-01T04:00,1551.164000
DE->AT,2024-01-01T04:15,1575.724000
DE->AT,2024-01-01T04:30,1651.256000
DE->AT,2024-01-01T04:45,1639.318000
DE->AT,2024-01-01T05:00,1464.528000
DE->AT,2024-01-01T05:15,1458.426000
DE->AT,2024-01-01T05:30,1562.900000
DE->AT,2024-01-01T05:45,1598.358000
DE->AT,2024-01-01T06:00,1571.856000
DE->AT,2024-01-01T06:15,1630.418000
DE->AT,2024-01-01T06:30,1608.388000
DE->AT,2024-01-01T06:45,1693.624000
DE->AT,2024-01-01T07:00,1708.820000
DE->AT,2024-01-01T07:15,1737.356000
DE->AT,2024-01-01T07:30,1730.478000
DE->AT,2024-01-01T07:45,1744.552000
DE->AT,2024-01-01T08:00,1511.548000
DE->AT,2024-01-01T08:15,1500.740000
DE->AT,2024-01-01T08:30,1544.944000
DE->AT,2024-01-01T08:45,1674.944000
DE->AT,2024-01-01T09:00,1947.278000
DE->AT,2024-01-01T09:15,2032.808000
DE->AT,2024-01-01T09:30,2062.450000
DE->AT,2024-01-01T09:45,2025.084000
DE->AT,2024-01-01T10:00,2084.104000
DE->AT,2024-01-01T10:15,2074.358000
DE->AT,2024-01-01T10:30,2046.474000
DE->AT,2024-01-01T10:45,1994.568000
DE->AT,2024-01-01T11:00,2080.004000
DE->AT,2024-01-01T11:15,1970.578000
DE->AT,2024-01-01T11:30,1794.182000
DE->AT,2024-01-01T11:45,1725.566000
DE->AT,2024-01-01T12:00,1695.670000
DE->AT,2024-01-01T12:15,1598.862000
DE->AT,2024-01-01T12:30,1601.510000
DE->AT,2024-01-01T12:45,1679.982000
DE->AT,2024-01-01T13:00,1563.852000
DE->AT,2024-01-01T13:15,1755.302000
