zone,time,value (MW)
FR->CH,2024-01-01T00:00,1846.000000
FR->CH,2024-01-01T01:00,1846.000000
FR->CH,2024-01-01T02:00,1846.000000
FR->CH,2024-01-01T03:00,1846.000000
FR->CH,2024-01-01T04:00,1846.000000
FR->CH,2024-01-01T05:00,1846.000000
FR->CH,2024-01-01T06:00,1846.000000
FR->CH,2024-01-01T07:00,1846.000000
FR->CH,2024-01-01T08:00,1846.000000
FR->CH,2024-01-01T09:00,1590.750000
FR->CH,2024-01-01T10:00,1215.000000
FR->CH,2024-01-01T11:00,1436.750000
FR->CH,2024-01-01T12:00,1806.000000
FR->CH,2024-01-01T13:00,2495.500000
FR->CH,2024-01-01T14:00,2976.750000
FR->CH,2024-01-01T15:00,2754.500000
FR->CH,2024-01-01T16:00,2244.750000
FR->CH,2024-01-01T17:00,1854.250000
FR->CH,2024-01-01T18:00,2166.750000
FR->CH,2024-01-01T19:00,2481.250000
FR->CH,2024-01-01T20:00,2724.250000
FR->CH,2024-01-01T21:00,2923.750000
FR->CH,2024-01-01T22:00,3036.750000
FR->CH,2024-01-01T23:00,3184.000000
FR->CH,2024-01-02T00:00,3184.000000
FR->CH,2024-01-02T01:00,3184.000000
FR->CH,2024-01-02T02:00,3184.000000
FR->CH,2024-01-02T03:00,3184.000000
FR->CH,2024-01-02T04:00,3184.000000
FR->CH,2024-01-02T05:00,3184.000000
FR->CH,2024-01-02T06:00,3184.000000
FR->CH,2024-01-02T07:00,3184.000000
FR->CH,2024-01-02T08:00,3184.000000
FR->CH,2024-01-02T09:00,3184.000000
FR->CH,2024-01-02T10:00,2726.500000
FR->CH,2024-01-02T11:00,2356.250000
FR->CH,2024-01-02T12:00,2692.750000
FR->CH,2024-01-02T13:00,2836.250000
FR->CH,2024-01-02T14:00,2790.000000
FR->CH,2024-01-02T15:00,2598.250000
FR->CH,2024-01-02T16:00,2634.750000
FR->CH,2024-01-02T17:00,2518.000000
FR->CH,2024-01-02T18:00,3058.250000
FR->CH,2024-01-02T19:00,3311.500000
FR->CH,2024-01-02T20:00,3244.500000
FR->CH,2024-01-02T21:00,3051.750000
FR->CH,2024-01-02T22:00,2813.000000
FR->CH,2024-01-02T23:00,3183.250000
FR->CH,2024-01-03T00:00,3402.250000
FR->CH,2024-01-03T01:00,2448.250000
FR->CH,2024-01-03T02:00,2627.250000
FR->CH,2024-01-03T03:00,2713.000000
FR->CH,2024-01-03T04:00,3732.250000
FR->CH,2024-01-03T05:00,3752.500000
FR->CH,2024-01-03T06:00,3327.750000
FR->CH,2024-01-03T07:00,2834.000000
FR->CH,2024-01-03T08:00,2561.750000
FR->CH,2024-01-03T09:00,2630.000000
FR->CH,2024-01-03T10:00,2741.000000
FR->CH,2024-01-03T11:00,3068.500000
FR->CH,2024-01-03T12:00,3363.750000
FR->CH,2024-01-03T13:00,3667.500000
FR->CH,2024-01-03T14:00,3651.750000
FR->CH,2024-01-03T15:00,3104.750000
FR->CH,2024-01-03T16:00,2666.500000
FR->CH,2024-01-03T17:00,2244.750000
FR->CH,2024-01-03T18:00,2380.750000
FR->CH,2024-01-03T19:00,2884.500000
FR->CH,2024-01-03T20:00,3174.000000
FR->CH,2024-01-03T21:00,3131.750000
FR->CH,2024-01-03T22:00,3048.500000
FR->CH,2024-01-03T23:00,3365.250000
FR->CH,2024-01-04T00:00,3361.250000
FR->CH,2024-01-04T01:00,3225.250000
FR->CH,2024-01-04T02:00,3230.750000
FR->CH,2024-01-04T03:00,3234.250000
FR->CH,2024-01-04T04:00,3210.500000
FR->CH,2024-01-04T05:00,2582.250000
FR->CH,2024-01-04T06:00,1944.750000
FR->CH,2024-01-04T07:00,1514.750000
FR->CH,2024-01-04T08:00,1462.500000
FR->CH,2024-01-04T09:00,1239.000000
FR->CH,2024-01-04T10:00,1168.000000
FR->CH,2024-01-04T11:00,1373.750000
FR->CH,2024-01-04T12:00,1246.750000
FR->CH,2024-01-04T13:00,1067.250000
FR->CH,2024-01-04T14:00,853.750000
FR->CH,2024-01-04T15:00,754.000000
FR->CH,2024-01-04T16:00,500.750000
FR->CH,2024-01-04T17:00,83.000000
FR->CH,2024-01-04T18:00,201.000000
FR->CH,2024-01-04T19:00,1008.750000
FR->CH,2024-01-04T20:00,1659.000000
FR->CH,2024-01-04T21:00,2123.500000
FR->CH,2024-01-04T22:00,2424.250000
FR->CH,2024-01-04T23:00,3075.750000
FR->CH,2024-01-05T00:00,3389.250000
FR->CH,2024-01-05T01:00,3739.500000
FR->CH,2024-01-05T02:00,3793.750000
FR->CH,2024-01-05T03:00,3937.750000
FR->CH,2024-01-05T04:00,4271.750000
FR->CH,2024-01-05T05:00,3711.500000
FR->CH,2024-01-05T06:00,3191.500000
FR->CH,2024-01-05T07:00,2599.000000
FR->CH,2024-01-05T08:00,2505.750000
FR->CH,2024-01-05T09:00,2490.750000
FR->CH,2024-01-05T10:00,2504.750000
FR->CH,2024-01-05T11:00,2796.500000
FR->CH,2024-01-05T12:00,3051.000000
FR->CH,2024-01-05T13:00,2921.500000
FR->CH,2024-01-05T14:00,2992.750000
FR->CH,2024-01-05T15:00,2313.500000
FR->CH,2024-01-05T16:00,1671.750000
FR->CH,2024-01-05T17:00,1095.250000
FR->CH,2024-01-05T18:00,1651.750000
FR->CH,2024-01-05T19:00,2271.500000
FR->CH,2024-01-05T20:00,2784.000000
FR->CH,2024-01-05T21:00,2794.000000
FR->CH,2024-01-05T22:00,2612.750000
FR->CH,2024-01-05T23:00,2754.250000
FR->CH,2024-01-06T00:00,2726.000000
FR->CH,2024-01-06T01:00,2639.500000
FR->CH,2024-01-06T02:00,2701.500000
FR->CH,2024-01-06T03:00,3084.500000
FR->CH,2024-01-06T04:00,3174.500000
FR->CH,2024-01-06T05:00,3154.250000
FR->CH,2024-01-06T06:00,2728.500000
FR->CH,2024-01-06T07:00,2298.000000
FR->CH,2024-01-06T08:00,2490.000000
FR->CH,2024-01-06T09:00,2739.000000
FR->CH,2024-01-06T10:00,2327.000000
FR->CH,2024-01-06T11:00,2205.750000
FR->CH,2024-01-06T12:00,2599.750000
FR->CH,2024-01-06T13:00,2888.500000
FR->CH,2024-01-06T14:00,2541.250000
FR->CH,2024-01-06T15:00,2049.750000
FR->CH,2024-01-06T16:00,1374.500000
FR->CH,2024-01-06T17:00,1019.750000
FR->CH,2024-01-06T18:00,1199.750000
FR->CH,2024-01-06T19:00,2104.250000
FR->CH,2024-01-06T20:00,2300.250000
FR->CH,2024-01-06T21:00,2335.250000
FR->CH,2024-01-06T22:00,2429.500000
FR->CH,2024-01-06T23:00,2060.500000
FR->CH,2024-01-07T00:00,2411.000000
FR->CH,2024-01-07T01:00,2767.750000
FR->CH,2024-01-07T02:00,3025.250000
FR->CH,2024-01-07T03:00,3204.750000
FR->CH,2024-01-07T04:00,3307.250000
FR->CH,2024-01-07T05:00,3198.000000
FR->CH,2024-01-07T06:00,2909.000000
FR->CH,2024-01-07T07:00,2712.000000
FR->CH,2024-01-07T08:00,2516.000000
FR->CH,2024-01-07T09:00,2202.000000
FR->CH,2024-01-07T10:00,1836.250000
FR->CH,2024-01-07T11:00,1777.250000
FR->CH,2024-01-07T12:00,2373.500000
FR->CH,2024-01-07T13:00,2295.250000
FR->CH,2024-01-07T14:00,1890.000000
FR->CH,2024-01-07T15:00,1353.750000
FR->CH,2024-01-07T16:00,940.250000
FR->CH,2024-01-07T17:00,823.250000
FR->CH,2024-01-07T18:00,980.750000
FR->CH,2024-01-07T19:00,1701.750000
FR->CH,2024-01-07T20:00,1532.000000
FR->CH,2024-01-07T21:00,1657.250000
FR->CH,2024-01-07T22:00,1979.750000
FR->CH,2024-01-07T23:00,2085.500000
DE->CH,2024-01-01T00:00,1922.844000
DE->CH,2024-01-01T00:15,1943.180000
DE->CH,2024-01-01T00:30,1928.654000
DE->CH,2024-01-01T00:45,1933.772000
DE->CH,2024-01-01T01:00,2091.608000
DE->CH,2024-01-01T01:15,2062.886000
DE->CH,2024-01-01T01:30,1971.550000
DE->CH,2024-01-01T01:45,1849.014000
DE->CH,2024-01-01T02:00,1860.062000
DE->CH,2024-01-01T02:15,1973.072000
DE->CH,2024-01-01T02:30,1946.100000
DE->CH,2024-01-01T02:45,1981.298000
DE->CH,2024-01-01T03:00,1939.290000
DE->CH,2024-01-01T03:15,2005.738000
DE->CH,2024-01-01T03:30,1982.600000
DE->CH,2024-01-01T03:45,1938.778000
DE->CH,2024-01-01T04:00,2008.972000
DE->CH,2024-01-01T04:15,2029.000000
DE->CH,2024-01-01T04:30,2041.944000
DE->CH,2024-01-01T04:45,2059.078000
DE->CH,2024-01-01T05:00,1843.708000
DE->CH,2024-01-01T05:15,1846.256000
DE->CH,2024-01-01T05:30,1846.464000
DE->CH,2024-01-01T05:45,1845.380000
DE->CH,2024-01-01T06:00,1779.942000
DE->CH,2024-01-01T06:15,1772.196000
DE->CH,2024-01-01T06:30,1718.796000
DE->CH,2024-01-01T06:45,1709.014000
DE->CH,2024-01-01T07:00,1791.880000
DE->CH,2024-01-01T07:15,1783.834000
DE->CH,2024-01-01T07:30,1792.144000
DE->CH,2024-01-01T07:45,1759.598000
DE->CH,2024-01-01T08:00,1627.090000
DE->CH,2024-01-01T08:15,1649.282000
DE->CH,2024-01-01T08:30,1618.534000
DE->CH,2024-01-01T08:45,1664.888000
DE->CH,2024-01-01T09:00,1696.822000
DE->CH,2024-01-01T09:15,1792.116000
DE->CH,2024-01-01T09:30,1730.516000
DE->CH,2024-01-01T09:45,1676.058000
DE->CH,2024-01-01T10:00,1610.120000
DE->CH,2024-01-01T10:15,1474.614000
DE->CH,2024-01-01T10:30,1403.580000
DE->CH,2024-01-01T10:45,1400.752000
DE->CH,2024-01-01T11:00,1357.984000
DE->CH,2024-01-01T11:15,1293.554000
DE->CH,2024-01-01T11:30,1236.522000
DE->CH,2024-01-01T11:45,1155.996000
DE->CH,2024-01-01T12:00,916.010000
DE->CH,2024-01-01T12:15,875.246000
DE->CH,2024-01-01T12:30,832.290000
DE->CH,2024-01-01T12:45,820.190000
DE->CH,2024-01-01T13:00,780.110000
DE->CH,2024-01-01T13:15,769.860000
DE->CH,2024-01-01T13:30,728.300000
DE->CH,2024-01-01T13:45,711.740000
DE->CH,2024-01-01T14:00,364.820000
DE->CH,2024-01-01T14:15,357.810000
DE->CH,2024-01-01T14:30,389.810000
DE->CH,2024-01-01T14:45,362.560000
DE->CH,2024-01-01T15:00,243.530000
DE->CH,2024-01-01T15:15,242.820000
DE->CH,2024-01-01T15:30,233.300000
DE->CH,2024-01-01T15:45,230.960000
DE->CH,2024-01-01T16:00,173.340000
DE->CH,2024-01-01T16:15,187.820000
DE->CH,2024-01-01T16:30,175.580000
DE->CH,2024-01-01T16:45,172.680000
DE->CH,2024-01-01T17:00,127.040000
DE->CH,2024-01-01T17:15,107.490000
DE->CH,2024-01-01T17:30,126.390000
DE->CH,2024-01-01T17:45,130.110000
DE->CH,2024-01-01T18:00,183.880000
DE->CH,2024-01-01T18:15,219.980000
DE->CH,2024-01-01T18:30,227.080000
DE->CH,2024-01-01T18:45,234.570000
DE->CH,2024-01-01T19:00,240.400000
DE->CH,2024-01-01T19:15,269.150000
DE->CH,2024-01-01T19:30,265.890000
DE->CH,2024-01-01T19:45,288.670000
DE->CH,2024-01-01T20:00,412.160000
DE->CH,2024-01-01T20:15,393.220000
DE->CH,2024-01-01T20:30,363.180000
DE->CH,2024-01-01T20:45,385.570000
DE->CH,2024-01-01T21:00,493.570000
