zone,time,value (MW)
DE->CZ,2024-01-01T00:00,1220.380000
DE->CZ,2024-01-01T01:00,1055.570000
DE->CZ,2024-01-01T02:00,872.140000
DE->CZ,2024-01-01T03:00,700.360000
DE->CZ,2024-01-01T04:00,781.190000
DE->CZ,2024-01-01T05:00,708.960000
DE->CZ,2024-01-01T06:00,733.580000
DE->CZ,2024-01-01T07:00,637.320000
DE->CZ,2024-01-01T08:00,369.600000
DE->CZ,2024-01-01T09:00,479.890000
DE->CZ,2024-01-01T10:00,347.560000
DE->CZ,2024-01-01T11:00,293.340000
DE->CZ,2024-01-01T12:00,389.810000
DE->CZ,2024-01-01T13:00,829.870000
DE->CZ,2024-01-01T14:00,844.320000
DE->CZ,2024-01-01T15:00,859.790000
DE->CZ,2024-01-01T16:00,978.120000
DE->CZ,2024-01-01T17:00,958.490000
DE->CZ,2024-01-01T18:00,920.460000
DE->CZ,2024-01-01T19:00,842.460000
DE->CZ,2024-01-01T20:00,744.050000
DE->CZ,2024-01-01T21:00,781.290000
DE->CZ,2024-01-01T22:00,520.920000
DE->CZ,2024-01-01T23:00,684.960000
DE->CZ,2024-01-02T00:00,802.690000
DE->CZ,2024-01-02T01:00,587.790000
DE->CZ,2024-01-02T02:00,744.410000
DE->CZ,2024-01-02T03:00,1111.030000
DE->CZ,2024-01-02T04:00,1529.190000
DE->CZ,2024-01-02T05:00,1746.250000
DE->CZ,2024-01-02T06:00,2440.360000
DE->CZ,2024-01-02T07:00,2527.140000
DE->CZ,2024-01-02T08:00,2260.190000
DE->CZ,2024-01-02T09:00,2198.680000
DE->CZ,2024-01-02T10:00,2082.010000
DE->CZ,2024-01-02T11:00,2003.330000
DE->CZ,2024-01-02T12:00,2070.820000
DE->CZ,2024-01-02T13:00,2387.770000
DE->CZ,2024-01-02T14:00,2587.800000
DE->CZ,2024-01-02T15:00,2769.600000
DE->CZ,2024-01-02T16:00,2739.400000
DE->CZ,2024-01-02T17:00,2598.510000
DE->CZ,2024-01-02T18:00,2495.410000
DE->CZ,2024-01-02T19:00,2468.080000
DE->CZ,2024-01-02T20:00,2177.820000
DE->CZ,2024-01-02T21:00,1941.160000
DE->CZ,2024-01-02T22:00,1839.520000
DE->CZ,2024-01-02T23:00,1820.140000
DE->CZ,2024-01-03T00:00,1876.480000
DE->CZ,2024-01-03T01:00,1723.780000
DE->CZ,2024-01-03T02:00,1668.230000
DE->CZ,2024-01-03T03:00,1726.950000
DE->CZ,2024-01-03T04:00,2010.710000
DE->CZ,2024-01-03T05:00,2283.910000
DE->CZ,2024-01-03T06:00,2681.120000
DE->CZ,2024-01-03T07:00,2619.290000
DE->CZ,2024-01-03T08:00,2279.700000
DE->CZ,2024-01-03T09:00,2153.180000
DE->CZ,2024-01-03T10:00,1973.060000
DE->CZ,2024-01-03T11:00,2022.240000
DE->CZ,2024-01-03T12:00,2076.350000
DE->CZ,2024-01-03T13:00,1975.420000
