zone,time,value (MW)
NL->DK1,2024-01-01T00:00,693.522500
NL->DK1,2024-01-01T01:00,598.515000
NL->DK1,2024-01-01T02:00,649.055000
NL->DK1,2024-01-01T03:00,291.755000
NL->DK1,2024-01-01T04:00,694.542500
NL->DK1,2024-01-01T05:00,623.280000
NL->DK1,2024-01-01T06:00,463.325000
NL->DK1,2024-01-01T07:00,697.422500
NL->DK1,2024-01-01T08:00,697.530000
NL->DK1,2024-01-01T09:00,697.530000
NL->DK1,2024-01-01T10:00,697.530000
NL->DK1,2024-01-01T11:00,697.490000
NL->DK1,2024-01-01T12:00,697.575000
NL->DK1,2024-01-01T13:00,697.530000
NL->DK1,2024-01-01T14:00,672.500000
NL->DK1,2024-01-01T15:00,97.875000
NL->DK1,2024-01-01T16:00,0.000000
NL->DK1,2024-01-01T17:00,90.330000
NL->DK1,2024-01-01T18:00,7.685000
NL->DK1,2024-01-01T19:00,610.280000
NL->DK1,2024-01-01T20:00,559.920000
NL->DK1,2024-01-01T21:00,142.655000
NL->DK1,2024-01-01T22:00,697.437500
NL->DK1,2024-01-01T23:00,697.642500
NL->DK1,2024-01-02T00:00,697.575000
NL->DK1,2024-01-02T01:00,697.687500
NL->DK1,2024-01-02T02:00,697.602500
NL->DK1,2024-01-02T03:00,697.280000
NL->DK1,2024-01-02T04:00,697.157500
NL->DK1,2024-01-02T05:00,684.375000
NL->DK1,2024-01-02T06:00,380.452500
NL->DK1,2024-01-02T07:00,0.000000
NL->DK1,2024-01-02T08:00,0.000000
NL->DK1,2024-01-02T09:00,0.000000
NL->DK1,2024-01-02T10:00,0.000000
NL->DK1,2024-01-02T11:00,0.000000
NL->DK1,2024-01-02T12:00,0.000000
NL->DK1,2024-01-02T13:00,0.000000
NL->DK1,2024-01-02T14:00,0.000000
NL->DK1,2024-01-02T15:00,0.000000
NL->DK1,2024-01-02T16:00,0.000000
NL->DK1,2024-01-02T17:00,0.000000
NL->DK1,2024-01-02T18:00,0.000000
NL->DK1,2024-01-02T19:00,0.000000
NL->DK1,2024-01-02T20:00,0.000000
NL->DK1,2024-01-02T21:00,0.000000
NL->DK1,2024-01-02T22:00,0.000000
NL->DK1,2024-01-02T23:00,0.000000
NL->DK1,2024-01-03T00:00,76.590000
NL->DK1,2024-01-03T01:00,0.000000
NL->DK1,2024-01-03T02:00,69.307500
NL->DK1,2024-01-03T03:00,256.345000
NL->DK1,2024-01-03T04:00,493.007500
NL->DK1,2024-01-03T05:00,500.260000
NL->DK1,2024-01-03T06:00,0.000000
NL->DK1,2024-01-03T07:00,0.000000
NL->DK1,2024-01-03T08:00,0.000000
NL->DK1,2024-01-03T09:00,0.000000
NL->DK1,2024-01-03T10:00,0.000000
NL->DK1,2024-01-03T11:00,0.000000
NL->DK1,2024-01-03T12:00,0.000000
NL->DK1,2024-01-03T13:00,0.000000
NL->DK1,2024-01-03T14:00,0.000000
NL->DK1,2024-01-03T15:00,0.000000
