zone,time,value (MW)
NL->NO2,2024-01-01T00:00,648.370000
NL->NO2,2024-01-01T01:00,648.370000
NL->NO2,2024-01-01T02:00,648.370000
NL->NO2,2024-01-01T03:00,648.370000
NL->NO2,2024-01-01T04:00,647.402500
NL->NO2,2024-01-01T05:00,619.355000
NL->NO2,2024-01-01T06:00,532.922500
NL->NO2,2024-01-01T07:00,648.970000
NL->NO2,2024-01-01T08:00,649.090000
NL->NO2,2024-01-01T09:00,649.090000
NL->NO2,2024-01-01T10:00,649.090000
NL->NO2,2024-01-01T11:00,649.090000
NL->NO2,2024-01-01T12:00,649.090000
NL->NO2,2024-01-01T13:00,649.090000
NL->NO2,2024-01-01T14:00,634.327500
NL->NO2,2024-01-01T15:00,305.752500
NL->NO2,2024-01-01T16:00,0.000000
NL->NO2,2024-01-01T17:00,14.217500
NL->NO2,2024-01-01T18:00,311.152500
NL->NO2,2024-01-01T19:00,626.312500
NL->NO2,2024-01-01T20:00,648.370000
NL->NO2,2024-01-01T21:00,648.370000
NL->NO2,2024-01-01T22:00,648.370000
NL->NO2,2024-01-01T23:00,648.370000
NL->NO2,2024-01-02T00:00,648.370000
NL->NO2,2024-01-02T01:00,648.370000
NL->NO2,2024-01-02T02:00,648.370000
NL->NO2,2024-01-02T03:00,648.370000
NL->NO2,2024-01-02T04:00,648.370000
NL->NO2,2024-01-02T05:00,648.127500
NL->NO2,2024-01-02T06:00,628.107500
NL->NO2,2024-01-02T07:00,299.897500
NL->NO2,2024-01-02T08:00,0.000000
NL->NO2,2024-01-02T09:00,0.000000
NL->NO2,2024-01-02T10:00,0.000000
NL->NO2,2024-01-02T11:00,0.000000
NL->NO2,2024-01-02T12:00,0.000000
NL->NO2,2024-01-02T13:00,0.000000
NL->NO2,2024-01-02T14:00,0.000000
NL->NO2,2024-01-02T15:00,0.000000
NL->NO2,2024-01-02T16:00,0.000000
NL->NO2,2024-01-02T17:00,0.000000
NL->NO2,2024-01-02T18:00,0.000000
NL->NO2,2024-01-02T19:00,10.592500
NL->NO2,2024-01-02T20:00,264.317500
NL->NO2,2024-01-02T21:00,557.227500
NL->NO2,2024-01-02T22:00,634.575000
NL->NO2,2024-01-02T23:00,348.697500
NL->NO2,2024-01-03T00:00,645.347500
NL->NO2,2024-01-03T01:00,585.330000
NL->NO2,2024-01-03T02:00,648.370000
NL->NO2,2024-01-03T03:00,648.370000
NL->NO2,2024-01-03T04:00,648.370000
NL->NO2,2024-01-03T05:00,648.370000
NL->NO2,2024-01-03T06:00,633.787500
NL->NO2,2024-01-03T07:00,305.150000
NL->NO2,2024-01-03T08:00,0.000000
NL->NO2,2024-01-03T09:00,0.000000
NL->NO2,2024-01-03T10:00,0.000000
NL->NO2,2024-01-03T11:00,9.315000
NL->NO2,2024-01-03T12:00,182.877500
NL->NO2,2024-01-03T13:00,0.000000
NL->NO2,2024-01-03T14:00,0.000000
NL->NO2,2024-01-03T15:00,0.000000
NL->NO2,2024-01-03T16:00,0.000000
NL->NO2,2024-01-03T17:00,0.000000
NL->NO2,2024-01-03T18:00,0.000000
NL->NO2,2024-01-03T19:00,0.000000
NL->NO2,2024-01-03T20:00,0.000000
NL->NO2,2024-01-03T21:00,13.370000
NL->NO2,2024-01-03T22:00,331.952500
NL->NO2,2024-01-03T23:00,647.097500
NL->NO2,2024-01-04T00:00,647.762500
NL->NO2,2024-01-04T01:00,648.490000
NL->NO2,2024-01-04T02:00,648.850000
NL->NO2,2024-01-04T03:00,648.367500
NL->NO2,2024-01-04T04:00,623.875000
NL->NO2,2024-01-04T05:00,305.092500
NL->NO2,2024-01-04T06:00,0.000000
NL->NO2,2024-01-04T07:00,0.000000
NL->NO2,2024-01-04T08:00,0.000000
NL->NO2,2024-01-04T09:00,0.000000
NL->NO2,2024-01-04T10:00,0.000000
NL->NO2,2024-01-04T11:00,0.000000
NL->NO2,2024-01-04T12:00,0.000000
NL->NO2,2024-01-04T13:00,0.000000
NL->NO2,2024-01-04T14:00,91.125000
NL->NO2,2024-01-04T15:00,93.005000
NL->NO2,2024-01-04T16:00,305.957500
NL->NO2,2024-01-04T17:00,564.897500
NL->NO2,2024-01-04T18:00,643.887500
NL->NO2,2024-01-04T19:00,562.057500
NL->NO2,2024-01-04T20:00,646.795000
NL->NO2,2024-01-04T21:00,625.287500
NL->NO2,2024-01-04T22:00,640.202500
NL->NO2,2024-01-04T23:00,458.400000
NL->NO2,2024-01-05T00:00,632.415000
NL->NO2,2024-01-05T01:00,647.640000
NL->NO2,2024-01-05T02:00,647.640000
NL->NO2,2024-01-05T03:00,647.640000
NL->NO2,2024-01-05T04:00,640.990000
NL->NO2,2024-01-05T05:00,477.060000
NL->NO2,2024-01-05T06:00,400.835000
NL->NO2,2024-01-05T07:00,102.655000
NL->NO2,2024-01-05T08:00,0.000000
NL->NO2,2024-01-05T09:00,0.000000
NL->NO2,2024-01-05T10:00,0.000000
NL->NO2,2024-01-05T11:00,0.000000
NL->NO2,2024-01-05T12:00,0.000000
NL->NO2,2024-01-05T13:00,0.000000
NL->NO2,2024-01-05T14:00,0.000000
NL->NO2,2024-01-05T15:00,0.000000
NL->NO2,2024-01-05T16:00,0.000000
NL->NO2,2024-01-05T17:00,0.000000
NL->NO2,2024-01-05T18:00,0.000000
NL->NO2,2024-01-05T19:00,0.000000
NL->NO2,2024-01-05T20:00,0.000000
NL->NO2,2024-01-05T21:00,0.000000
NL->NO2,2024-01-05T22:00,0.000000
NL->NO2,2024-01-05T23:00,0.000000
