zone,time,value (MW)
DK2->SE4,2024-01-01T00:00,1186.000000
DK2->SE4,2024-01-01T01:00,1330.090000
DK2->SE4,2024-01-01T02:00,1385.380000
DK2->SE4,2024-01-01T03:00,1492.370000
DK2->SE4,2024-01-01T04:00,1497.840000
DK2->SE4,2024-01-01T05:00,1388.690000
DK2->SE4,2024-01-01T06:00,1325.700000
DK2->SE4,2024-01-01T07:00,1199.500000
DK2->SE4,2024-01-01T08:00,1206.710000
DK2->SE4,2024-01-01T09:00,816.440000
DK2->SE4,2024-01-01T10:00,504.150000
DK2->SE4,2024-01-01T11:00,369.940000
DK2->SE4,2024-01-01T12:00,25.270000
DK2->SE4,2024-01-01T13:00,0.000000
DK2->SE4,2024-01-01T14:00,39.970000
DK2->SE4,2024-01-01T15:00,273.410000
DK2->SE4,2024-01-01T16:00,165.510000
DK2->SE4,2024-01-01T17:00,160.590000
DK2->SE4,2024-01-01T18:00,622.890000
DK2->SE4,2024-01-01T19:00,704.890000
DK2->SE4,2024-01-01T20:00,974.740000
DK2->SE4,2024-01-01T21:00,891.950000
DK2->SE4,2024-01-01T22:00,1258.760000
DK2->SE4,2024-01-01T23:00,1235.380000
DK2->SE4,2024-01-02T00:00,1096.590000
DK2->SE4,2024-01-02T01:00,1088.660000
DK2->SE4,2024-01-02T02:00,1177.970000
DK2->SE4,2024-01-02T03:00,1086.730000
DK2->SE4,2024-01-02T04:00,1029.670000
DK2->SE4,2024-01-02T05:00,952.110000
DK2->SE4,2024-01-02T06:00,722.900000
DK2->SE4,2024-01-02T07:00,627.790000
DK2->SE4,2024-01-02T08:00,475.470000
DK2->SE4,2024-01-02T09:00,259.200000
DK2->SE4,2024-01-02T10:00,561.980000
DK2->SE4,2024-01-02T11:00,253.770000
DK2->SE4,2024-01-02T12:00,165.380000
DK2->SE4,2024-01-02T13:00,388.660000
DK2->SE4,2024-01-02T14:00,54.300000
DK2->SE4,2024-01-02T15:00,34.160000
DK2->SE4,2024-01-02T16:00,69.740000
DK2->SE4,2024-01-02T17:00,459.030000
DK2->SE4,2024-01-02T18:00,1153.160000
DK2->SE4,2024-01-02T19:00,1439.470000
DK2->SE4,2024-01-02T20:00,1677.670000
DK2->SE4,2024-01-02T21:00,1653.040000
DK2->SE4,2024-01-02T22:00,1670.040000
DK2->SE4,2024-01-02T23:00,1596.190000
DK2->SE4,2024-01-03T00:00,1568.770000
DK2->SE4,2024-01-03T01:00,1546.000000
DK2->SE4,2024-01-03T02:00,1699.100000
